Electricity_Usage_kWh,Gas_Usage_kWh,Car_Usage_km,Flight_Trips_per_year,Diet_Type,Waste_Produced_kg,Recycling_Rate,Cycling_Habit,Public_Transport_Habit,Carbon_Footprint_kgCO2
415,235,41,3,vegetarian,4.52,0,0,0,1106.5
113,301,138,8,vegetarian,1.58,1,0,1,1420.8
341,404,282,2,vegetarian,4.49,0,1,0,1571.2
876,259,407,0,vegetarian,2.31,1,0,1,1698.7
1469,496,226,4,meat,3.07,1,0,1,2351.8
664,509,422,9,vegan,6.56,0,1,0,2817.7
997,521,71,9,vegetarian,1.61,1,1,0,1912.8
1463,419,242,1,vegetarian,5.18,1,1,1,1821.2
191,541,17,3,vegetarian,6.49,0,1,0,1074.8
1490,186,76,1,pescatarian,4.8,0,1,1,1480.8
1055,416,44,1,meat,1.17,1,1,0,1320.8
608,233,471,2,meat,9.87,1,1,0,2644.9
875,336,370,4,vegan,4.3,1,1,1,1978.3
134,521,342,3,pescatarian,8.01,0,0,0,2078.8
305,424,139,1,pescatarian,3.93,1,0,1,1073.7
1204,586,176,9,pescatarian,5.28,1,1,1,2481.8
1125,560,221,1,vegan,4.5,1,0,1,1558.0
1121,299,414,5,vegan,4.08,0,1,1,2339.2
665,559,91,6,vegan,1.2,1,0,0,1437.7
1229,122,21,9,pescatarian,4.24,0,0,1,2015.6
802,331,171,5,meat,9.01,0,1,1,2228.3
501,409,91,6,pescatarian,7.21,0,0,1,1761.2
829,59,191,0,vegan,2.31,0,0,0,1125.2
261,260,76,5,pescatarian,6.32,0,0,1,1414.5
301,201,280,2,vegetarian,9.03,1,1,1,1562.3
1095,54,363,0,pescatarian,7.3,0,0,0,2136.2
369,244,178,7,pescatarian,2.34,1,0,1,1669.7
915,332,237,3,meat,8.81,1,1,1,2190.1
1394,513,134,9,meat,3.71,0,0,0,2771.4
555,162,364,7,meat,5.09,0,0,1,2590.6
1375,320,389,9,vegetarian,5.74,0,0,1,3043.0
1116,212,279,3,meat,8.65,0,0,0,2551.6
395,509,18,3,vegetarian,9.38,1,1,0,1264.2
819,154,82,9,vegan,9.37,1,1,0,2029.2
437,331,227,3,meat,1.07,0,1,1,1588.8
978,211,370,5,pescatarian,9.3,0,0,1,2642.3
1176,400,264,8,pescatarian,1.49,1,1,0,2442.5
891,483,111,4,vegetarian,3.39,1,0,1,1487.4
316,189,250,9,meat,5.63,0,0,0,2521.2
863,520,163,7,pescatarian,5.32,1,1,1,2061.0
287,181,357,7,vegan,6.44,1,1,0,2112.3
479,136,167,3,meat,5.32,1,1,0,1663.8
592,232,220,9,vegan,9.41,0,0,0,2386.1
1164,417,407,8,pescatarian,3.16,0,0,1,2882.6
1280,178,303,8,meat,3.47,1,0,0,2874.4
114,295,190,4,vegetarian,9.29,0,0,0,1685.0
164,427,324,5,pescatarian,1.69,1,1,1,1704.6
620,198,436,4,vegan,6.49,1,1,0,2183.9
1467,482,437,2,meat,7.14,0,0,1,2927.6
1252,518,169,7,vegan,5.55,0,0,0,2281.4
747,495,374,8,vegan,7.25,1,1,0,2619.5
1186,530,44,3,vegetarian,2.55,0,1,0,1439.5
1262,343,380,8,vegetarian,8.67,0,0,0,3117.4
692,192,473,8,pescatarian,2.26,0,1,0,2749.1
491,299,13,6,vegetarian,4.61,0,0,0,1398.2
518,351,230,7,vegetarian,1.68,1,0,0,1873.3
388,74,156,2,pescatarian,5.91,1,0,1,1251.7
478,119,499,4,pescatarian,7.03,0,0,0,2573.7
330,161,133,2,pescatarian,9.47,1,1,1,1319.3
1117,413,390,6,pescatarian,7.65,0,1,1,2789.9
140,352,36,5,vegan,5.87,0,0,1,1059.1
1151,520,52,2,vegan,9.39,0,0,1,1531.0
234,140,17,8,pescatarian,5.31,1,0,1,1417.0
300,579,470,0,pescatarian,6.05,1,0,1,1951.2
879,241,491,9,meat,6.36,1,0,0,3407.3
1029,291,37,2,meat,4.69,0,1,0,1578.8
1156,187,186,9,meat,8.55,1,0,0,2876.6
1171,394,384,6,vegetarian,2.67,1,1,0,2497.2
602,229,195,2,vegan,5.99,0,0,0,1456.7
506,552,242,2,vegan,7.5,0,0,1,1598.6
904,252,299,1,meat,9.14,0,0,1,2232.1
198,241,302,8,meat,8.96,0,0,1,2574.3
783,54,34,3,vegan,5.58,1,1,0,1071.7
825,286,214,9,vegetarian,6.79,1,1,0,2372.8
1060,360,218,5,meat,4.55,0,1,0,2360.5
712,598,315,1,pescatarian,5.21,0,0,0,1983.4
742,105,89,8,meat,9.16,0,1,1,2233.0
1128,492,307,6,vegan,9.38,0,0,1,2548.1
1341,286,251,9,vegan,9.06,1,0,0,2786.8
602,246,7,4,meat,2.25,0,1,1,1254.8
866,563,255,6,meat,8.65,0,0,0,2771.9
497,498,362,3,pescatarian,9.54,1,0,0,2329.9
970,409,207,9,pescatarian,4.25,0,1,0,2487.7
894,79,424,6,vegetarian,5.67,0,1,1,2464.2
492,157,130,1,vegetarian,8.01,0,0,1,1218.6
306,494,223,6,pescatarian,6.06,0,1,1,1911.7
1138,487,196,3,vegetarian,9.94,0,1,0,2152.1
991,506,467,3,vegetarian,5.1,1,1,0,2469.8
963,544,141,0,meat,7.43,1,0,0,1818.7
842,296,251,2,pescatarian,8.13,1,0,1,1893.8
1364,592,95,4,meat,5.45,1,1,0,2169.6
663,488,25,4,meat,8.71,0,0,0,1875.9
1120,327,110,1,vegetarian,5.92,0,0,1,1429.1
195,160,453,3,meat,4.7,0,1,0,2263.0
584,434,122,0,vegan,1.97,0,1,1,775.7
330,240,185,8,vegetarian,4.54,0,1,1,1776.5
848,539,483,0,vegan,7.61,0,0,0,2273.7
1294,475,167,5,vegetarian,9.29,1,0,0,2321.5
640,454,50,6,meat,3.27,0,0,0,1844.7
1159,384,378,2,vegetarian,4.2,0,0,0,2249.7
624,258,4,0,vegan,2.39,1,1,1,418.9
1283,71,76,6,vegetarian,7.22,1,1,1,1813.8
1366,257,159,2,vegan,9.64,0,1,1,1789.6
1209,57,207,9,pescatarian,6.77,1,1,1,2477.6
677,578,256,5,meat,6.55,1,1,1,2279.4
781,215,204,5,vegan,5.98,0,0,1,1764.0
656,545,254,3,pescatarian,1.8,0,1,1,1666.5
1112,478,437,5,meat,7.57,1,0,0,3120.4
745,212,10,9,pescatarian,6.42,1,0,0,1932.1
895,415,436,3,vegan,6.95,1,1,0,2309.5
1151,575,7,7,meat,9.09,1,0,0,2370.0
1463,288,408,8,pescatarian,8.06,1,0,0,3290.9
1454,121,423,1,vegan,8.03,1,1,0,2322.3
1471,494,31,6,pescatarian,9.34,0,0,1,2228.2
1354,558,471,8,meat,9.91,0,1,0,3767.4
289,318,27,8,meat,6.23,1,1,0,1818.9
1348,464,205,4,meat,1.98,1,0,1,2174.7
1406,294,492,0,vegan,5.13,0,0,1,2277.7
732,109,386,5,pescatarian,8.09,1,1,0,2468.2
727,55,227,7,pescatarian,1.25,0,0,1,1910.0
1072,456,127,0,vegan,1.51,1,1,0,1065.8
1382,266,254,1,meat,1.6,1,1,1,1885.8
1482,75,474,0,vegetarian,7.58,1,1,0,2427.5
809,54,211,4,meat,5.51,1,1,0,2023.7
748,581,238,1,vegetarian,4.32,0,1,0,1609.3
417,439,206,9,meat,1.95,0,1,1,2202.7
1348,497,317,9,vegan,7.59,0,0,1,2895.1
1357,195,282,3,vegetarian,3.89,0,1,0,2086.5
783,437,244,0,vegan,3.39,1,0,1,1252.1
763,298,44,6,vegetarian,6.87,0,0,1,1624.4
1497,575,104,7,pescatarian,6.03,0,0,0,2482.5
1356,511,347,4,vegetarian,4.26,0,1,0,2461.8
1236,62,280,1,vegetarian,6.77,1,1,1,1775.1
541,433,233,7,vegetarian,3.44,1,0,1,1904.9
663,448,188,0,pescatarian,8.15,1,1,0,1543.4
1391,68,43,6,vegan,3.06,1,0,1,1526.4
1236,540,493,0,pescatarian,2.43,1,1,1,2234.0
1051,468,224,5,vegetarian,8.04,0,1,1,2177.9
1204,386,429,5,meat,7.37,0,1,0,3108.8
798,468,141,4,pescatarian,2.64,0,0,1,1623.9
212,171,135,1,meat,2.05,0,0,1,1097.3
101,481,175,1,pescatarian,8.55,1,0,0,1409.8
741,93,141,8,pescatarian,7.99,0,1,1,2100.4
319,366,448,4,vegetarian,3.95,1,1,0,2086.8
954,430,79,4,vegan,6.92,1,0,0,1599.5
1348,194,81,6,vegan,2.12,0,0,0,1740.7
484,376,134,5,vegetarian,5.56,0,0,0,1667.8
1253,412,206,1,pescatarian,1.17,0,1,0,1673.6
1176,99,343,0,vegan,4.52,0,0,0,1801.2
829,114,176,4,vegan,1.67,0,1,1,1322.2
346,404,382,3,vegan,5.28,1,1,0,1813.2
935,213,242,2,vegetarian,4.8,0,0,1,1676.4
302,190,54,1,meat,5.0,1,1,0,1093.0
1307,177,140,9,meat,1.41,1,1,0,2427.1
222,447,456,1,meat,4.25,0,1,1,2047.6
500,512,439,3,meat,7.81,1,1,0,2591.6
866,236,55,1,meat,4.32,1,0,0,1407.3
393,239,14,3,vegan,7.44,1,1,0,975.2
379,437,184,2,vegan,4.33,1,0,0,1247.1
983,478,313,8,pescatarian,4.81,1,1,1,2557.9
297,333,418,6,vegan,6.08,0,0,0,2297.4
1081,286,87,2,vegetarian,9.56,0,1,0,1671.8
851,243,96,7,pescatarian,1.98,0,0,0,1837.4
243,336,143,8,vegan,1.3,1,1,1,1344.8
708,185,7,6,pescatarian,6.47,1,0,0,1600.5
1324,220,476,5,pescatarian,9.54,0,0,0,3195.0
1247,208,214,3,meat,9.91,1,0,1,2366.4
286,250,172,4,pescatarian,5.36,1,1,0,1516.0
1449,536,222,7,vegan,5.21,1,1,1,2300.8
563,553,39,2,meat,6.8,1,0,1,1434.9
1472,420,496,1,vegan,6.0,1,1,1,2402.0
759,152,181,2,meat,6.71,0,0,1,1813.1
863,174,269,6,vegan,8.87,0,0,1,2199.7
1054,362,186,7,meat,7.72,1,1,0,2586.6
502,507,244,0,meat,5.47,0,1,0,1736.6
1469,279,477,6,vegetarian,5.16,0,1,1,2918.7
246,246,308,8,vegan,6.76,1,1,0,2104.8
1271,472,230,2,pescatarian,5.1,0,1,0,2057.1
963,220,382,2,meat,5.12,0,1,1,2308.5
588,431,154,7,vegan,1.15,1,0,1,1515.8
1028,222,174,3,meat,2.57,0,0,0,1944.1
650,502,335,7,vegetarian,5.4,1,0,0,2433.1
437,399,114,4,vegetarian,8.4,0,1,1,1493.2
971,543,389,2,vegetarian,3.51,0,0,0,2196.4
740,53,310,3,vegetarian,5.7,0,1,1,1795.9
572,142,480,3,pescatarian,4.1,0,1,1,2183.6
250,55,299,7,pescatarian,1.94,1,1,1,1786.0
1421,337,17,5,meat,9.62,1,0,0,2285.1
362,195,271,6,vegan,8.69,0,0,1,1951.5
243,473,11,8,vegetarian,1.71,1,1,1,1176.4
445,506,403,5,vegetarian,7.48,1,0,1,2305.8
723,251,300,2,pescatarian,4.13,0,1,1,1743.3
1116,261,191,2,pescatarian,9.95,0,1,1,1961.3
980,55,231,2,vegetarian,3.72,1,0,0,1620.0
101,425,442,9,vegan,3.15,1,1,0,2340.5
996,496,92,1,meat,6.11,1,1,0,1682.3
1427,155,477,0,meat,8.52,1,1,1,2678.5
353,450,217,9,meat,2.73,0,1,0,2340.5
552,145,277,0,meat,7.38,1,0,1,1731.0
1160,437,352,3,vegan,1.55,1,0,0,2018.6
1283,501,486,2,vegan,9.27,1,1,0,2670.3
1114,465,302,4,vegan,1.73,0,1,1,1888.0
108,553,28,8,pescatarian,9.23,1,1,0,1751.4
1356,503,469,7,vegetarian,5.42,1,0,0,3122.4
1222,340,300,8,vegan,5.03,0,0,0,2614.5
915,583,76,4,meat,9.76,0,0,1,2110.4
307,242,8,7,vegan,9.91,1,0,0,1491.6
1254,199,23,3,vegetarian,6.85,0,0,1,1486.7
503,564,14,4,pescatarian,2.14,1,1,1,1062.7
251,442,163,2,meat,5.56,1,0,1,1493.6
153,365,12,4,pescatarian,5.76,0,0,0,1204.0
1243,125,346,2,vegan,5.63,0,1,0,2055.5
727,319,171,4,meat,6.13,0,0,1,1993.2
686,274,356,4,meat,1.17,1,1,1,2073.7
203,579,326,5,vegan,7.4,0,1,0,2010.2
353,162,199,8,vegan,7.41,1,0,0,1943.1
1350,300,484,0,vegetarian,2.04,0,0,0,2277.0
1235,282,488,9,vegan,6.13,1,0,0,3178.6
609,132,461,5,vegan,6.12,1,0,1,2252.6
198,174,377,0,vegan,7.14,0,1,0,1500.7
252,224,75,5,meat,1.77,0,1,1,1319.2
1013,118,163,1,vegetarian,6.64,1,0,1,1431.4
977,96,371,7,meat,3.53,0,1,0,2771.3
437,305,60,2,vegan,5.56,0,1,0,988.0
921,79,487,9,vegetarian,7.96,0,1,0,3149.7
1286,330,464,5,vegan,7.35,0,0,0,2869.5
1056,286,423,5,meat,2.07,0,1,0,2724.8
260,297,244,3,meat,6.32,0,1,0,1895.1
900,417,476,4,vegan,9.72,0,1,0,2701.1
497,544,381,1,vegetarian,2.41,1,0,1,1634.7
1400,74,154,9,meat,8.68,0,1,1,2791.2
915,539,256,9,vegan,7.32,1,1,0,2525.2
1258,543,243,7,pescatarian,7.97,0,1,1,2647.9
1318,363,161,9,vegan,3.54,1,1,1,2147.4
500,424,67,6,vegan,3.59,1,1,0,1324.2
739,74,343,9,vegetarian,9.15,0,1,1,2656.7
1156,383,276,5,vegan,4.24,0,1,0,2144.9
787,404,160,6,pescatarian,1.57,0,0,0,1893.2
559,165,390,0,vegan,6.41,0,0,1,1624.5
1054,97,448,4,pescatarian,2.12,1,0,0,2432.1
569,148,488,6,meat,8.17,1,0,0,3007.4
1498,508,258,0,vegan,6.78,0,0,0,1985.4
1145,572,491,1,vegetarian,8.87,1,0,1,2565.1
849,454,306,8,vegan,8.06,0,1,1,2478.7
137,263,334,2,pescatarian,2.01,1,0,0,1532.9
329,552,94,5,pescatarian,4.43,0,0,0,1586.6
1488,497,437,6,vegetarian,7.97,1,0,1,3034.1
662,307,463,8,pescatarian,4.76,0,0,1,2818.6
537,170,457,4,vegan,9.75,1,1,0,2349.5
1406,103,245,3,pescatarian,7.62,0,1,1,2177.4
126,380,220,1,vegan,1.14,0,1,0,934.0
325,290,122,2,vegan,8.92,1,1,1,1100.5
1400,579,186,4,pescatarian,1.91,1,0,1,1984.2
897,532,261,1,vegetarian,2.26,1,1,1,1473.6
383,236,412,3,meat,7.61,1,0,1,2322.8
978,311,272,0,vegetarian,8.78,1,1,0,1801.3
1059,413,372,3,meat,5.83,0,0,0,2674.9
552,540,59,6,vegetarian,3.6,1,0,1,1415.5
1119,480,405,2,vegan,4.16,1,1,0,2124.0
915,288,407,9,vegan,4.09,1,1,0,2665.9
758,353,124,7,pescatarian,3.94,1,1,1,1791.9
646,347,336,5,meat,3.19,0,1,1,2276.6
1315,125,340,5,meat,6.48,0,1,0,2819.0
1172,382,50,0,pescatarian,9.1,0,1,1,1430.6
116,523,177,4,vegetarian,3.76,0,1,0,1395.4
1295,332,138,2,pescatarian,2.68,1,0,1,1576.1
1343,121,439,9,vegetarian,8.55,0,1,0,3282.8
257,312,326,0,pescatarian,7.68,0,0,1,1621.1
576,61,169,7,meat,9.38,1,0,1,2247.8
1169,190,38,6,meat,2.49,1,1,0,1861.0
1496,66,68,6,vegetarian,2.3,1,0,1,1702.8
617,112,235,9,meat,5.87,1,1,0,2523.1
198,302,47,9,meat,6.53,1,0,0,1983.6
1160,514,380,9,meat,5.32,1,1,1,3150.2
379,425,56,3,meat,6.39,0,1,1,1426.5
1472,569,276,5,vegan,2.62,0,1,1,2177.7
596,139,337,8,pescatarian,5.32,1,1,1,2348.2
401,224,98,2,pescatarian,6.92,0,1,0,1308.7
280,125,403,8,vegan,4.89,1,0,0,2279.5
706,449,14,3,meat,7.12,1,1,1,1478.7
1222,120,324,4,pescatarian,5.06,0,1,0,2360.0
799,229,460,6,pescatarian,4.0,0,0,1,2618.2
1092,173,178,5,pescatarian,3.73,0,1,0,1979.4
1239,430,331,9,vegetarian,4.7,0,0,1,2811.0
290,342,61,7,vegan,1.21,0,1,1,1110.6
352,244,118,7,vegetarian,7.02,1,0,0,1745.2
1080,277,468,7,vegetarian,8.61,0,1,1,2973.6
1027,480,36,2,vegan,4.19,0,1,0,1207.0
1284,485,133,9,pescatarian,1.41,1,0,1,2240.5
1379,510,454,5,vegetarian,9.88,0,0,0,3171.5
1446,70,25,6,pescatarian,3.37,0,0,0,1875.0
227,113,489,8,vegetarian,2.14,0,0,0,2476.9
117,214,495,9,pescatarian,4.33,0,0,0,2776.7
665,76,7,9,meat,7.65,0,1,1,2005.3
669,360,456,3,meat,3.65,1,1,1,2365.0
1446,334,474,4,meat,6.17,0,0,1,3116.7
785,330,3,7,vegan,4.74,0,0,0,1536.0
725,213,20,0,meat,2.06,1,0,1,929.4
1411,273,414,5,vegetarian,3.97,0,1,1,2570.9
953,195,148,3,pescatarian,7.52,1,1,1,1681.0
1061,79,487,4,pescatarian,6.51,1,0,1,2647.2
254,94,24,4,pescatarian,2.08,1,1,0,919.2
589,520,486,1,pescatarian,2.47,0,0,1,2089.0
884,83,142,7,vegetarian,6.77,0,1,1,1910.4
1227,476,244,1,pescatarian,8.32,0,0,0,2182.3
345,270,418,3,vegetarian,4.15,0,0,1,1906.0
1299,583,432,4,vegetarian,6.36,1,1,0,2722.4
1162,416,42,0,pescatarian,2.54,1,1,1,1037.8
858,599,424,5,pescatarian,3.8,1,0,0,2608.7
637,165,292,1,pescatarian,1.18,0,0,0,1557.0
1020,288,184,4,vegetarian,7.91,1,1,1,1851.9
507,384,41,5,vegan,4.61,0,0,1,1201.7
624,490,430,7,vegetarian,8.35,1,0,1,2701.5
927,197,91,8,vegan,7.38,1,0,1,1869.1
1002,58,316,5,pescatarian,8.46,1,0,1,2381.4
135,337,397,4,vegetarian,3.57,0,0,1,1839.6
784,437,323,3,pescatarian,2.67,1,0,0,2014.1
119,99,52,1,vegan,9.75,1,1,0,806.7
420,566,83,1,vegan,7.46,0,1,0,1110.3
611,327,33,6,vegetarian,8.51,1,0,0,1661.6
499,349,75,4,vegetarian,1.12,1,0,1,1047.7
753,184,352,6,vegetarian,4.19,0,1,0,2271.2
1071,196,407,0,vegetarian,7.69,0,0,0,2196.3
570,539,403,0,meat,1.7,0,1,0,1989.2
1266,527,196,4,meat,6.11,0,1,1,2336.6
1215,208,485,1,pescatarian,4.86,1,0,1,2375.4
1477,433,285,7,vegan,1.16,1,0,1,2288.9
933,212,87,2,vegan,3.12,0,0,0,1203.6
826,490,234,0,pescatarian,3.56,1,1,1,1423.0
953,238,231,1,pescatarian,2.01,1,1,0,1525.9
150,464,6,9,pescatarian,6.68,0,0,0,1763.2
674,388,291,9,meat,3.18,1,0,0,2689.9
1313,230,37,6,pescatarian,3.5,1,0,1,1743.0
1248,337,463,5,vegan,9.08,1,1,1,2736.6
249,236,51,7,pescatarian,5.2,0,0,1,1482.8
413,187,142,6,vegetarian,4.53,1,1,0,1544.1
669,179,429,9,vegan,7.51,1,0,1,2686.2
1465,243,406,7,vegan,9.19,1,0,1,2929.9
404,365,395,2,vegan,1.23,0,1,1,1510.5
781,193,220,5,meat,5.03,0,1,0,2199.9
937,65,427,6,meat,6.5,1,1,0,2880.5
1177,351,239,9,vegan,3.87,1,1,0,2384.8
1102,472,142,0,vegetarian,7.95,0,1,0,1595.1
543,294,348,0,vegan,9.74,0,1,1,1666.7
712,156,492,6,meat,9.49,0,0,1,3107.3
1092,137,362,2,vegetarian,3.39,0,1,0,2011.6
363,178,381,2,vegan,3.04,1,0,1,1489.4
1176,390,48,4,meat,9.62,0,0,0,2206.0
1103,53,276,5,vegetarian,5.13,0,0,1,2113.9
104,376,270,1,pescatarian,2.87,0,1,1,1233.3
1226,459,13,2,pescatarian,7.36,0,1,1,1501.2
1319,355,297,5,vegan,3.56,1,0,0,2236.5
873,274,491,2,pescatarian,3.41,1,0,1,2266.7
976,397,463,4,meat,8.91,1,0,1,2960.1
1091,370,14,8,vegetarian,2.46,1,1,1,1614.5
983,230,233,2,vegan,1.58,0,0,1,1422.0
1473,435,62,5,vegetarian,3.42,1,1,0,1793.0
146,157,195,4,vegetarian,6.46,1,0,0,1480.6
966,580,26,4,vegetarian,2.11,0,1,0,1377.5
922,459,470,5,meat,5.24,1,1,1,2835.7
1035,345,92,5,vegan,6.65,1,0,1,1633.5
755,220,104,0,pescatarian,8.64,1,1,1,1235.5
368,380,308,8,vegetarian,3.07,0,0,0,2221.5
469,542,51,4,vegetarian,8.36,0,0,0,1542.6
735,244,318,0,vegetarian,3.11,0,0,1,1491.2
1229,61,456,7,meat,7.09,1,0,0,3277.3
756,244,180,6,pescatarian,4.88,0,0,0,2045.2
219,539,56,6,vegetarian,2.03,0,1,1,1162.7
930,231,119,4,meat,7.43,1,0,0,2053.3
1181,365,307,0,meat,2.96,0,1,1,1965.5
1469,79,362,8,vegetarian,2.59,1,0,0,2742.7
840,145,42,8,vegetarian,4.22,1,0,0,1729.5
216,430,134,7,meat,6.88,0,1,0,2066.0
890,493,372,4,meat,3.11,1,0,0,2528.4
1250,347,425,2,vegetarian,2.65,1,0,1,2174.1
1112,410,259,7,meat,1.09,1,1,1,2381.0
1181,423,196,0,meat,5.24,0,1,0,1919.4
733,352,132,2,vegetarian,4.86,1,0,1,1295.1
612,470,458,6,vegetarian,3.1,0,0,0,2547.0
901,295,254,3,vegan,1.48,0,0,1,1548.0
1219,286,488,6,pescatarian,4.86,1,0,0,3008.3
1241,583,219,4,vegetarian,8.09,1,0,1,2197.4
659,234,335,5,vegetarian,7.44,1,0,0,2259.2
587,517,40,6,vegetarian,8.75,1,0,0,1736.1
1360,412,477,9,pescatarian,1.09,1,0,1,3100.6
996,332,387,6,vegan,9.7,0,0,0,2750.1
1395,385,254,6,meat,4.07,0,1,0,2701.5
1312,211,1,6,pescatarian,9.91,1,1,0,2017.3
803,209,493,6,vegetarian,3.27,0,0,0,2660.2
680,523,194,2,vegetarian,5.24,0,1,1,1493.9
889,371,241,2,vegan,4.19,0,1,1,1517.8
960,61,148,6,vegan,4.2,1,0,0,1728.3
346,473,197,1,vegan,8.58,0,1,0,1386.4
1199,122,298,1,meat,7.72,0,1,1,2217.1
253,250,244,2,pescatarian,9.93,0,1,1,1658.0
1096,571,337,3,pescatarian,6.52,1,1,0,2387.8
1209,554,107,5,vegan,5.17,0,1,0,1846.7
796,88,452,7,meat,1.81,1,0,1,2694.9
1408,109,392,9,pescatarian,9.97,0,0,0,3415.2
1343,370,211,9,vegetarian,5.96,1,1,1,2508.0
1192,484,155,6,vegetarian,7.3,0,1,1,2143.7
1170,457,25,3,vegetarian,4.66,1,1,1,1317.6
1108,435,81,1,pescatarian,5.93,0,0,0,1583.5
193,127,82,1,vegan,9.48,1,1,1,813.6
1057,243,130,3,vegetarian,2.5,1,0,1,1401.4
1111,334,328,5,vegan,3.63,0,1,0,2207.2
552,576,99,2,meat,2.37,0,1,1,1364.8
1327,573,255,5,vegetarian,8.13,1,0,1,2429.4
1011,205,478,4,meat,1.56,1,0,1,2590.0
317,389,48,4,vegan,1.73,0,0,1,881.7
573,174,400,1,pescatarian,3.69,1,1,1,1723.2
531,329,62,7,vegan,5.63,0,1,1,1450.7
440,177,310,4,vegetarian,4.66,0,0,0,1881.1
650,363,406,1,vegetarian,1.4,1,1,0,1718.9
1412,381,289,6,vegan,9.62,0,0,0,2723.8
1377,199,104,8,vegetarian,9.58,1,0,1,2337.2
456,503,104,8,vegetarian,3.51,0,1,1,1664.4
122,85,324,0,meat,7.58,0,1,1,1625.5
621,469,14,6,pescatarian,6.21,0,1,0,1646.7
1223,71,174,8,vegan,3.14,0,1,0,2074.8
901,255,258,5,meat,3.36,0,1,1,2190.0
1303,405,210,0,vegetarian,5.42,0,1,0,1719.0
1346,489,411,1,meat,4.77,0,1,0,2635.7
861,145,258,3,pescatarian,3.62,0,0,1,1800.0
541,213,101,3,vegan,8.27,0,0,0,1400.4
868,197,259,1,pescatarian,5.33,0,1,0,1757.1
1115,579,343,7,pescatarian,6.89,0,0,0,2933.2
1448,343,158,1,meat,2.7,0,0,0,1956.9
615,244,44,2,meat,5.8,1,0,1,1330.7
1139,529,442,3,pescatarian,3.86,1,0,1,2476.2
891,172,300,8,vegetarian,5.74,0,1,0,2484.1
435,449,250,9,vegan,8.03,0,0,0,2378.7
357,501,330,0,vegetarian,7.92,1,0,0,1699.8
596,153,164,7,vegetarian,4.19,0,1,0,1813.4
995,511,192,4,vegan,7.25,0,0,1,1893.3
259,445,8,6,meat,9.47,0,0,1,1756.5
951,386,400,7,vegetarian,6.63,1,1,0,2722.8
789,191,373,4,meat,2.34,0,0,0,2401.3
479,366,64,7,vegan,7.12,1,1,0,1565.3
